;Solution;Problem size;Time;; ListLenght; MaxIter
RANDN;350,317359;50;0,897203;TSEARCH;2500;125000
RANDN;350,562675;50;0,59419;TSEARCHDynamicTL;50;125000
RANDN;363,150057;50;0,562069;TSEARCHDynamicTL;500;125000
RANDN;343,829233;50;0,439244;TSEARCHDynamicTL;100;100000
RANDN;351,253577;50;0,453652;TSEARCHDynamicTL;100;100000
RANDN;351,253577;50;0,465789;TSEARCHDynamicTL;100;100000
RANDN;351,253577;50;0,445997;TSEARCHDynamicTL;100;100000
RANDN;350,562675;50;0,55564;TSEARCHDynamicTL;50;125000
RANDN;363,150057;50;0,549932;TSEARCHDynamicTL;500;125000
RANDN;343,829233;50;0,465227;TSEARCHDynamicTL;100;100000
RANDN;351,253577;50;0,444021;TSEARCHDynamicTL;100;100000
RANDN;351,253577;50;0,436701;TSEARCHDynamicTL;100;100000
RANDN;351,253577;50;0,466095;TSEARCHDynamicTL;100;100000
RANDN;350,317359;50;0,982044;TSEARCH;2500;125000
RANDN;350,562675;50;0,512573;TSEARCHDynamicTL;50;125000
RANDN;363,150057;50;0,535971;TSEARCHDynamicTL;500;125000
RANDN;361,575099;50;0,395483;TSEARCHDynamicTL;50;100000
RANDN;312,513664;50;0,435081;TSEARCHDynamicTL;200;100000
RANDN;314,573186;50;0,415793;TSEARCHDynamicTL;50;100000
RANDN;321,341297;50;0,40692;TSEARCHDynamicTL;200;100000
RANDN;350,562675;50;0,51821;TSEARCHDynamicTL;50;125000
RANDN;363,150057;50;0,509185;TSEARCHDynamicTL;500;125000
RANDN;343,513713;50;0,424484;TSEARCHDynamicTL;50;100000
RANDN;337,759343;50;0,404991;TSEARCHDynamicTL;200;100000
RANDN;355,268523;50;0,414181;TSEARCHDynamicTL;50;100000
RANDN;330,920596;50;0,422752;TSEARCHDynamicTL;200;100000
RANDN;344,553817;50;0,402761;TSEARCHDynamicTL;50;100000
RANDN;344,133562;50;0,433135;TSEARCHDynamicTL;200;100000
RANDN;342,471531;50;0,409899;TSEARCHDynamicTL;50;100000
RANDN;350,177427;50;0,413418;TSEARCHDynamicTL;200;100000
RANDN;346,351184;50;0,707296;TSEARCHDynamicTL;50;100000
RANDN;323,638369;50;0,453164;TSEARCHDynamicTL;200;100000
RANDN;346,772083;50;0,453456;TSEARCHDynamicTL;50;100000
RANDN;346,234382;50;0,459283;TSEARCHDynamicTL;200;100000
RANDN;359,627527;50;0,671709;TSEARCHDynamicTL;50;100000
RANDN;354,09118;50;0,462136;TSEARCHDynamicTL;200;100000
RANDN;341,24286;50;0,456537;TSEARCHDynamicTL;50;100000
RANDN;333,281597;50;0,47244;TSEARCHDynamicTL;200;100000
